site_id,site_name,manual,mini_manual,edge,pattern_matching,include_composite,include_key
26535,2021 Kern 6,,,,,1,1
26536,2021 Kern 7,,,,,1,1
26432,2021 Markham Ravine,,,,,1,1
24252,2021 Orchard Creek,,,,,1,1
24233,2021 Panoche Creek Preserve 1W,,,,,1,1
24232,2021 Panoche Creek Preserve 2E,,,,,1,1
21537,2021 Plumas Arboga,,,,,1,1
24119,2021 Rancho Jamul,,,,,1,1
24231,2021 Rodeo Grounds 1,,,,,1,1
24549,2021 Rush Ranch,,,,,1,1
25171,2021 SJWA,,,,,1,1
11100,2021 Sedgwick,,,,,1,1
24107,2021 Willey Wetlands 1,,,,,1,1
24261,2021 Willey Wetlands 2,,,,,1,1
24263,2021 Willey Wetlands 3,,,,,1,1
24790,2021 Wind Wolves Preserve,,,,,1,1
34485,2022 Baja 1,,,,,1,1
53136,2022 Baja 2,,,,,1,1
34044,2022 Colusa NWR T27.1,,,,,1,1
34079,2022 Colusa NWR T27.2,,,,,1,1
34111,2022 Conaway New Easement Pond West,,,,,1,1
34112,2022 Conaway North,,,,,1,1
34113,2022 Conaway North A,,,,,1,1
34115,2022 Conaway East,,,,,1,1
34078,2022 Creed Road,,,,,1,1
34118,2022 Foley Ranch A,,,,,1,1
34119,2022 Foley Ranch B,,,,,1,1
33966,2022 Hay Landfill,,,,,1,1
34077,2022 Laguna Seca,,,,,1,1
34117,2022 Los Vaqueros Reservoir,,,,,1,1
34076,2022 Marsh Creek Reservoir,,,,,1,1
34075,2022 Newberry Springs - Lake Wainani,,,,,1,1
33851,2022 OR1,,,,,1,1
34073,2022 OR2,,,,,1,1
34071,2022 Paicines Ranch - Teal Pond,,,,,1,1
34072,2022 Paicines Ranch - Teal Pond B,,,,,1,1
52598,2022 Panoche Creek Preserve Loc4,,,,,1,1
34130,2022 Panoche Creek Preserve Loc5,,,,,1,1
52597,2022 Panoche Creek Preserve Loc3,,,,,1,1
34012,2022 Plumas Arboga East,,,,,1,1
34013,2022 Plumas Arboga West,,,,,1,1
34131,2022 Private Site 1 - not real lat lon,,,,,1,1
34133,2022 Private Site 2 - not real lat lon,,,,,1,1
34132,2022 Private Site 3 - not real lat lon,,,,,1,1
34045,2022 Rancho Jamul,,,,,1,1
34046,2022 SJWA,,,,,1,1
34090,2022 Ohlone - Santa Lucia Preserve,,,,,1,1
33985,2022 Sedgwick,,,,,1,1
33984,2022 WA Harder Spring,,,,,1,1
33845,2022 WA1,,,,,1,1
34088,2022 Wind Wolves Preserve Pleitito Creek,,,,,1,1
34087,2022 Wind Wolves Preserve Santiago Wetlands,,,,,1,1
48459,2023 Laguna Fry Confluence - 45 Sump,,,,,1,1
48395,2023 Baja Rancho Cinega,,,,,1,1
48455,2023 Colusa NWR T27.1,,,,,1,1
58629,2023 Colusa NWR T27.2,,,,,1,1
48473,2023 Conaway Ranch - HQ,,,,,1,1
48474,2023 Conaway Ranch NE,,,,,1,1
48477,2023 Conaway Ranch North 1,,,,,1,1
48476,2023 Conaway Ranch North 2,,,,,1,1
48472,2023 Delevan T6,,,,,1,1
48454,2023 Delevan NWR T43.1,,,,,1,1
48877,2023 Delevan NWR T43.2,,,,,1,1
48462,2023 Creed Rd,,,,,1,1
48463,2023 Hale Road,,,,,1,1
48468,2023 Hale Road Site 2,,,,,1,1
48457,2023 Iron Point,,,,,1,1
48434,2023 Kentucky Lateral,,,,,1,1
48467,2023 Kern - Canebreak Ecological Reserve 4,,,,,1,1
48470,2023 Kern - HQ2,,,,,1,1
48465,2023 Laguna Fry Confluence - Site 1,,,,,1,1
48747,2023 Weagell Property 1,,,,,1,1
48458,2023 Weagell Property 2,,,,,1,1
48428,2023 Los Vaqueros - Walnut Trail Marsh,,,,,1,1
48444,2023 Los Vaqueros Reservoir,,,,,1,1
48436,2023 Markham Ravine,,,,,1,1
48446,2023 Merced NWR - Cottonwood,,,,,1,1
48490,2023 Merced NWR Deadman Wetland Ditch,,,,,1,1
48448,2023 North Regional Pond,,,,,1,1
48397,2023 OR Dizney Rd,,,,,1,1
48392,2023 OR Eureka Rd,,,,,1,1
48445,2023 OR Prineville North,,,,,1,1
48796,2023 Panoche Creek Preserve - Corrals NW,,,,,1,1
48797,2023 Panoche Creek Preserve - Corrals SE,,,,,1,1
48440,2023 Peterson Ranch Pond - East,,,,,1,1
48461,2023 Peterson Ranch Pond - West,,,,,1,1
48475,2023 Plumas Arboga 2,,,,,1,1
48437,2023 Plumas Arboga 8 - North Regional Pond,,,,,1,1
48764,2023 Rancho Jamul North Pond - fix lat lon,,,,,1,1
48765,2023 Rancho Jamul Site 1 fix lat lon,,,,,1,1
48438,2023 Bridge St Pond,,,,,1,1
48439,2023 West of Davis,,,,,1,1
48464,2023 San Luis NWR - West Bank Creek,,,,,1,1
48447,2023 San Luis Bear Creek,,,,,1,1
48466,2023 Sedgwick,,,,,1,1
48478,2023 South Virginia Road 3,,,,,1,1
48456,2023 Virginia at Ostrom,,,,,1,1
48398,2023 WA Harder Spring,,,,,1,1
48393,2023 WA McCain Wetlands,,,,,1,1
48471,2023 Wind Wolves Preserve site 1,,,,,1,1
48469,2023 Wind Wolves Preserve Site 2,,,,,1,1
65446,2024 Baja Rancho Cinega Redonda 1,,,,,1,1
65447,2024 Baja Rancho Cinega Redonda 2,,,,,1,1
65444,2024 Baja Lago Mesa Redonda,,,,,1,1
65453,2024 Colusa NWR T27.1,,,,,1,1
65454,2024 Colusa NWR T27.2,,,,,1,1
63115,2024 Dublin Ranch Preserve - Lin Livermore Conservation Area,,,,,1,1
65456,2024 Kern 1 - check lat lon,,,,,1,1
63044,2024 Los Vaqueros Reservoir,,,,,1,1
63085,2024 Markham Ravine 1,,,,,1,1
63088,2024 Markham Ravine 2,,,,,1,1
63113,2024 Markham Ravine 3,,,,,1,1
63114,2024 Merced NWR - Cottonwood Trail,,,,,1,1
63087,2024 Moore Lake - confirm lat lon,,,,,1,1
66012,2024 Newberry Springs,,,,,1,1
77023,2024 North Regional Pond,,,,,1,1
63086,2024 OR Eureka Lane,,,,,1,1
65471,2024 Panoche Creek Preserve - Dollar Marsh East,,,,,1,1
65469,2024 Panoche Creek Preserve - Dollar Marsh South,,,,,1,1
65470,2024 Panoche Creek Preserve - Dollar Marsh West,,,,,1,1
63656,2024 Rancho Jamul - Main Pond 1,,,,,1,1
63657,2024 Rancho Jamul - Main Pond 2,,,,,1,1
63468,2024 Rancho Jamul - North Pond,,,,,1,1
63089,2024 SJWA Thistle NW of Bridge Street Pond,,,,,1,1
63049,2024 Ohlone - Santa Lucia Preserve,,,,,1,1
63738,2024 Sedgwick,,,,,1,1
63116,2024 WA Harder Spring,,,,,1,1
63465,2024 WA McCain Pond,,,,,1,1
65481,2024 Wind Wolves Preserve - Los Lobos,,,,,1,1
65482,2024 Wind Wolves Preserve - Pleitito,,,,,1,1
65483,2024 Wind Wolves Preserve - Santiago,,,,,1,1
65480,2024 Wind Wolves Preserve - Tevis,,,,,1,1
