site_id,site_name,manual,mini_manual,edge,pattern_matching,include_composite,include_key
2059,2017 Rush Ranch,,,,,1,1
3150,2018 Iron Point,,,,,1,1
3348,2018 Markham Ravine Main,,,,,1,1
3366,2018 Markham Ravine westside,,,,,1,1
3281,2018 Red Wing Ranch,,,,,1,1
2719,2018 Rush Ranch,,,,,1,1
3682,2018 SJWA-rose-2,,,,,1,1
3417,2018 SJWA-rose-1,,,,,1,1
82621,2018 SJWA WSS,,,,,1,1
5642,2019 Colusa NWR 27-1,,,,,1,1
5643,2019 Colusa NWR 27-2,,,,,1,1
4455,2019 Creed Road,,,,,1,1
4456,2019 Hay Landfill,,,,,1,1
4979,2019 Iron Point,,,,,1,1
4639,2019 Leisure Town,,,,,1,1
5637,2019 Markham Ravine,,,,,1,1
5640,2019 Markham Ravine 2,,,,,1,1
82630,2019 Red Wing Ranch,,,,,1,1
5638,2019 Rush Ranch,,,,,1,1
7657,2020 Conaway Ranch,,,,,1,1
2908,2020 Creed Road,,,,,1,1
57589,2020 Fort Ord,,,,,1,1
6199,2020 Hay Landfill,,,,,1,1
7650,2020 Iron Point,,,,,1,1
6404,2020 Markham Ravine,,,,,1,1
2915,2020 Rush Ranch,,,,,1,1
18572,2020 Ohlone - Santa Lucia Preserve,,,,,1,1
24130,2021 Colusa NWR 27-1,,,,,1,1
24221,2021 Colusa NWR 27-2,,,,,1,1
21652,2021 Conaway East,,,,,1,1
24652,2021 Conaway South,,,,,1,1
21591,2021 Conaway West,,,,,1,1
24122,2021 Dagnino Pond,,,,,1,1
21681,2021 Creed Road,,,,,1,1
24651,2021 Reeds Creek North,,,,,1,1
24653,2021 Reeds Creek South,,,,,1,1
21668,2021 Foley Ranch,,,,,1,1
21688,2021 Hale Road 2,,,,,1,1
11101,2021 Hay Landfill,,,,,1,1
24658,2021 Iron Point,,,,,1,1
24606,2021 Kern 1,,,,,1,1
24544,2021 Kern 2,,,,,1,1
24641,2021 Kern 3,,,,,1,1
24655,2021 Kern 4,,,,,1,1
26534,2021 Kern 5,,,,,1,1
